Wavelength (Angstroms), Normalized intensity, Element
7783.81, 9856, 
7783.912, 9867, 
7784.014, 9880, 
7784.116, 9886, 
7784.216, 9856, 
7784.318, 9854, 
7784.42, 9873, 
7784.52, 9884, 
7784.622, 9888, 
7784.724, 9884, 
7784.826, 9853, 
7784.926, 9865, 
7785.028, 9875, 
7785.13, 9871, 
7785.232, 9882, 
7785.332, 9862, 
7785.434, 9869, 
7785.536, 9812, 
7785.636, 9852, 
7785.738, 9867, 
7785.84, 9877, 
7785.942, 9881, 
7786.042, 9878, 
7786.144, 9868, 
7786.246, 9830, 
7786.348, 9833, 
7786.448, 9826, 
7786.55, 9869, 
7786.652, 9873, 
7786.752, 9871, 
7786.854, 9805, 
7786.956, 9858, 
7787.058, 9866, 
7787.158, 9871, 
7787.26, 9878, 
7787.362, 9870, 
7787.462, 9828, 
7787.564, 9854, 
7787.666, 9863, 
7787.768, 9861, 
7787.868, 9864, 
7787.97, 9858, 
7788.072, 9825, 
7788.174, 9841, 
7788.274, 9857, 
7788.376, 9851, 
7788.478, 9849, 
7788.578, 9849, 
7788.68, 9782, 
7788.782, 9292, 
7788.884, 5920, 
7788.984, 5453, 
7789.086, 9453, 
7789.188, 9806, 
7789.29, 9846, 
7789.39, 9872, 
7789.492, 9874, 
7789.594, 9825, 
7789.694, 9852, 
7789.796, 9863, 
7789.898, 9823, 
7790.0, 9847, 
7790.1, 9867, 
7790.202, 9848, 
7790.304, 9795, 
7790.404, 9847, 
7790.506, 9876, 
7790.608, 9840, 
7790.71, 9833, 
7790.81, 9878, 
7790.912, 9871, 
7791.014, 9875, 
7791.116, 9835, 
7791.216, 9869, 
7791.318, 9867, 
7791.42, 9860, 
7791.52, 9875, 
7791.622, 9879, 
7791.724, 9861, 
7791.826, 9856, 
7791.926, 9880, 
7792.028, 9880, 
7792.13, 9886, 
7792.232, 9866, 
7792.332, 9851, 
7792.434, 9861, 
7792.536, 9871, 
7792.636, 9867, 
7792.738, 9874, 
7792.84, 9876, 
7792.942, 9821, 
7793.042, 9858, 
7793.144, 9879, 
7793.246, 9883, 
7793.348, 9864, 
7793.448, 9878, 
7793.55, 9883, 
7793.652, 9873, 
7793.752, 9868, 
7793.854, 9869, 
7793.956, 9884, 
7794.058, 9888, 
7794.158, 9880, 
7794.26, 9844, 
7794.362, 9793, 
7794.462, 9861, 
7794.564, 9856, 
7794.666, 9844, 
7794.768, 9872, 
7794.868, 9863, 
7794.97, 9859, 
7795.072, 9890, 
7795.174, 9876, 
7795.274, 9832, 
7795.376, 9862, 
7795.478, 9881, 
7795.578, 9883, 
7795.68, 9877, 
7795.782, 9871, 
7795.884, 9843, 
7795.984, 9828, 
7796.086, 9886, 
7796.188, 9884, 
7796.29, 9886, 
7796.39, 9877, 
7796.492, 9871, 
7796.594, 9866, 
7796.694, 9876, 
7796.796, 9880, 
7796.898, 9869, 
7797.0, 9855, 
7797.1, 9859, 
7797.202, 9839, 
7797.304, 9798, 
7797.404, 9623, 
7797.506, 7787, 
7797.608, 5057, 
7797.71, 9073, 
7797.81, 9708, 
7797.912, 9812, 
7798.014, 9840, 
7798.116, 9859, 
7798.216, 9857, 
7798.318, 9840, 
7798.42, 9850, 
7798.52, 9838, 
7798.622, 9794, 
7798.724, 9760, 
7798.826, 9628, 
7798.926, 9722, 
7799.028, 9761, 
7799.13, 9553, 
7799.232, 9464, 
7799.332, 9653, 
7799.434, 9789, 
7799.536, 9792, 
7799.636, 9759, 
7799.738, 9658, 
7799.84, 9340, 
7799.942, 7774, 
7800.042, 7515, 
7800.144, 9037, 
7800.246, 9316, 
7800.348, 9548, 
7800.448, 9741, 
7800.55, 9741, 
7800.652, 9768, 
7800.752, 9821, 
7800.854, 9839, 
7800.956, 9839, 
7801.058, 9829, 
7801.158, 9758, 
7801.26, 9783, 
7801.362, 9843, 
7801.462, 9855, 
