Wavelength (Angstroms), Normalized intensity, Element
6646.81, 9852, 
6647.81, 9768, 
6648.81, 9861, 
6649.81, 9894, 
6650.81, 9894, 
6651.81, 9882, 
6652.81, 9903, 
6653.81, 9483, 
6654.81, 9894, 
6655.81, 9898, 
6656.81, 9860, 
6657.81, 9889, 
6658.81, 9903, 
6659.81, 9641, 
6660.81, 9851, 
6661.81, 9857, 
6662.81, 9824, 
6663.81, 9828, 
6664.81, 9852, 
6665.81, 9770, 
6666.81, 9864, 
6667.81, 9732, 
6668.81, 9732, 
6669.81, 9890, 
6670.81, 9887, 
6671.81, 9703, 
6672.81, 9859, 
6673.81, 9762, 
6674.81, 9868, 
6675.81, 9861, 
6676.81, 9845, 
6677.81, 9250, 
6678.81, 9554, 
6679.81, 9881, 
6680.81, 9890, 
6681.81, 9855, 
6682.81, 9863, 
6683.81, 9874, 
6684.81, 9858, 
6685.81, 9890, 
6686.81, 9870, 
6687.81, 9837, 
6688.81, 9788, 
6689.81, 9890, 
6690.81, 9687, 
6691.81, 9899, 
6692.81, 9809, 
6693.81, 9868, 
6694.81, 9838, 
6695.81, 9832, 
6696.81, 9725, 
6697.81, 9863, 
6698.81, 9778, 
6699.81, 9871, 
6700.81, 9870, 
6701.81, 9849, 
6702.81, 9873, 
6703.81, 9862, 
6704.81, 9865, 
6705.81, 9887, 
6706.81, 9881, 
6707.81, 9795, 
6708.81, 9799, 
6709.81, 9855, 
6710.81, 9879, 
6711.81, 9645, 
6712.81, 9881, 
6713.81, 9278, 
6714.81, 9833, 
6715.81, 9875, 
6716.81, 9889, 
6717.81, 8362, 
6718.81, 9886, 
6719.81, 9695, 
6720.81, 9830, 
6721.81, 7713, 
6722.81, 9815, 
6723.81, 9870, 
6724.81, 9823, 
6725.81, 9809, 
6726.81, 9635, 
6727.81, 9867, 
6728.81, 9875, 
6729.81, 9788, 
6730.81, 9886, 
6731.81, 9868, 
6732.81, 9883, 
6733.81, 9864, 
6734.81, 9893, 
6735.81, 9780, 
6736.81, 9886, 
6737.81, 9843, 
6738.81, 9456, 
6739.81, 9897, 
6740.81, 9889, 
6741.81, 9781, 
6742.81, 9869, 
6743.81, 9847, 
6744.81, 9876, 
6745.81, 9886, 
6746.81, 9877, 
6747.81, 9834, 
6748.81, 9337, 
6749.81, 9871, 
6750.81, 9872, 
6751.81, 9833, 
6752.81, 9392, 
6753.81, 9845, 
6754.81, 9773, 
6755.81, 9879, 
6756.81, 9831, 
6757.81, 9863, 
6758.81, 9700, 
6759.81, 9880, 
6760.81, 9885, 
6761.81, 9871, 
6762.81, 9863, 
6763.81, 9837, 
6764.81, 9829, 
6765.81, 9754, 
6766.81, 9778, 
6767.81, 4497, 
6768.81, 9807, 
6769.81, 9847, 
6770.81, 9827, 
6771.81, 9893, 
6772.81, 9884, 
6773.81, 9874, 
6774.81, 9738, 
6775.81, 9901, 
6776.81, 9893, 
6777.81, 9798, 
6778.81, 9877, 
6779.81, 9872, 
6780.81, 9854, 
6781.81, 9767, 
6782.81, 9870, 
6783.81, 9682, 
6784.81, 9777, 
6785.81, 9687, 
6786.81, 8925, 
6787.81, 9902, 
6788.81, 9908, 
6789.81, 9894, 
6790.81, 9883, 
6791.81, 9908, 
6792.81, 9864, 
6793.81, 9865, 
6794.81, 9876, 
6795.81, 9445, 
6796.81, 9800, 
6797.81, 9881, 
6798.81, 9790, 
6799.81, 9858, 
6800.81, 9842, 
6801.81, 9851, 
6802.81, 9853, 
6803.81, 9648, 
6804.81, 9885, 
6805.81, 9812, 
6806.81, 7966, 
6807.81, 9862, 
6808.81, 9835, 
6809.81, 9877, 
6810.81, 9862, 
6811.81, 9877, 
6812.81, 9870, 
6813.81, 9784, 
6814.81, 9802, 
6815.81, 9852, 
6816.81, 9870, 
6817.81, 9871, 
6818.81, 9868, 
6819.81, 9832, 
6820.81, 9823, 
6821.81, 9865, 
6822.81, 9892, 
6823.81, 9897, 
6824.81, 9690, 
6825.81, 9894, 
6826.81, 9882, 
6827.81, 9788, 
6828.81, 9812, 
6829.81, 9861, 
6830.81, 9830, 
6831.81, 9859, 
6832.81, 9869, 
6833.81, 9877, 
6834.81, 9860, 
6835.81, 9868, 
6836.81, 9842, 
6837.81, 9881, 
6838.81, 8101, 
6839.81, 7637, 
6840.81, 9858, 
6841.81, 9780, 
6842.81, 9595, 
6843.81, 9630, 
6844.81, 9837, 
6845.81, 9865, 
6846.81, 9863, 
6847.81, 9863, 
6848.81, 9821, 
6849.81, 9886, 
6850.81, 9868, 
6851.81, 9873, 
6852.81, 9841, 
6853.81, 9847, 
6854.81, 8865, 
6855.81, 9524, 
6856.81, 9883, 
6857.81, 9808, 
6858.81, 9878, 
6859.81, 9864, 
6860.81, 9613, 
6861.81, 9808, 
6862.81, 9902, 
6863.81, 9871, 
6864.81, 9900, 
6865.81, 9876, 
6866.81, 9890, 
6867.19, 1327, O2  B 
6868.19, 5001, 
6869.19, 8529, 
6870.19, 9124, 
6871.19, 6863, 
6872.19, 3968, 
6873.19, 9657, 
6874.19, 9642, 
6875.19, 9637, 
6876.19, 9713, 
6877.19, 9669, 
6878.19, 9767, 
6879.19, 8744, 
6880.19, 9742, 
6881.19, 9881, 
6882.19, 9876, 
6883.19, 9713, 
6884.19, 9799, 
6885.19, 9825, 
6886.19, 9494, 
6887.19, 9500, 
6888.19, 9826, 
6889.19, 9435, 
6890.19, 9373, 
6891.19, 9820, 
6892.19, 8895, 
6893.19, 7286, 
6894.19, 9784, 
6895.19, 9580, 
6896.19, 8838, 
6897.19, 9348, 
6898.19, 9753, 
6899.19, 9824, 
6900.19, 9500, 
6901.19, 9613, 
6902.19, 9871, 
6903.19, 9833, 
6904.19, 7389, 
6905.19, 9188, 
6906.19, 9596, 
6907.19, 9811, 
6908.19, 9721, 
6909.19, 9628, 
6910.19, 9770, 
6911.19, 9840, 
6912.19, 9874, 
6913.19, 670, 
6914.19, 9215, 
6915.19, 9879, 
6916.19, 9869, 
6917.19, 9798, 
6918.19, 9026, 
6919.19, 9725, 
6920.19, 9373, 
6921.19, 9849, 
6922.19, 9854, 
6923.19, 9583, 
6924.19, 3317, 
6925.19, 9252, 
6926.19, 9516, 
6927.19, 9862, 
6928.19, 9667, 
6929.19, 9738, 
6930.19, 9893, 
6931.19, 9870, 
6932.19, 9527, 
6933.19, 9724, 
6934.19, 9885, 
6935.19, 9797, 
6936.19, 9870, 
6937.19, 9769, 
6938.19, 9726, 
6939.19, 9881, 
6940.19, 8382, 
6941.19, 9407, 
6942.19, 9613, 
6943.19, 9827, 
6944.19, 9884, 
6945.19, 4222, 
6946.19, 9864, 
6947.19, 9849, 
6948.19, 9867, 
6949.19, 9818, 
6950.19, 9890, 
6951.19, 7917, 
6952.19, 9859, 
6953.19, 9479, 
6954.19, 9853, 
6955.19, 9720, 
6956.19, 9827, 
6957.19, 9841, 
6958.19, 9866, 
6959.19, 9838, 
6960.19, 9731, 
6961.19, 9700, 
6962.19, 9848, 
6963.19, 9858, 
6964.19, 9859, 
6965.19, 9714, 
6966.19, 9777, 
6967.19, 9879, 
6968.19, 9886, 
6969.19, 9877, 
6970.19, 9784, 
6971.19, 9719, 
6972.19, 9854, 
6973.19, 9870, 
6974.19, 9802, 
6975.19, 9735, 
6976.19, 9586, 
6977.19, 9858, 
6978.19, 9686, 
6979.19, 9483, 
6980.19, 9851, 
6981.19, 9817, 
6982.19, 9758, 
6983.19, 9859, 
6984.19, 9838, 
6985.19, 9880, 
6986.19, 9873, 
6987.19, 9874, 
6988.19, 9867, 
6989.19, 9851, 
6990.19, 9818, 
6991.19, 9855, 
6992.19, 9832, 
6993.19, 9839, 
6994.19, 9814, 
6995.19, 9851, 
6996.19, 9880, 
6997.19, 9727, 
6998.19, 9833, 
6999.19, 9671, 
7000.19, 9827, 
7001.19, 9819, 
7002.19, 9775, 
7003.19, 9828, 
7004.19, 9814, 
7005.19, 9766, 
7006.19, 9665, 
7007.19, 9793, 
7008.19, 9811, 
7009.19, 9793, 
7010.19, 9872, 
7011.19, 9829, 
7012.19, 9696, 
7013.19, 9760, 
7014.19, 9873, 
7015.19, 9754, 
7016.19, 9471, 
7017.19, 9702, 
7018.19, 9852, 
7019.19, 9775, 
7020.19, 9737, 
7021.19, 9890, 
7022.19, 9802, 
7023.19, 9760, 
7024.19, 9664, 
7025.19, 9882, 
7026.19, 9807, 
7027.19, 9808, 
7028.19, 9867, 
7029.19, 9564, 
7030.19, 9841, 
7031.19, 9849, 
7032.19, 9567, 
7033.19, 9871, 
7034.19, 9776, 
7035.19, 9578, 
7036.19, 9874, 
7037.19, 9778, 
7038.19, 6377, 
7039.19, 9825, 
7040.19, 9876, 
7041.19, 9827, 
7042.19, 9839, 
7043.19, 9867, 
7044.19, 9866, 
7045.19, 9598, 
7046.19, 9878, 
7047.19, 9785, 
7048.19, 9861, 
7049.19, 9889, 
7050.19, 9885, 
7051.19, 9867, 
7052.19, 9858, 
7053.19, 9870, 
7054.19, 9866, 
7055.19, 9820, 
7056.19, 9711, 
7057.19, 9866, 
7058.19, 9735, 
7059.19, 9730, 
7060.19, 9692, 
7061.19, 9781, 
